No.,Start Date,Start Time,End Date,End Time,Destination,Total Usage(MB),Billed Usage(MB),Free Usage(MB),Chargeable Usage(MB),Amount
1,16-DEC-22,23:53:21,17-DEC-22,05:23:20,JIONET,74.854,74.854,74.854,0.000,0.00
2,16-DEC-22,18:23:21,16-DEC-22,23:53:21,JIONET,5587.618,5587.618,5587.618,0.000,0.00
3,16-DEC-22,12:53:21,16-DEC-22,18:23:21,JIONET,2184.776,2184.776,2184.776,0.000,0.00
4,16-DEC-22,07:23:20,16-DEC-22,12:53:21,JIONET,6268.887,6268.887,6268.887,0.000,0.00
5,16-DEC-22,01:53:21,16-DEC-22,07:23:20,JIONET,278.428,278.428,278.428,0.000,0.00
6,15-DEC-22,20:23:19,16-DEC-22,01:53:21,JIONET,4465.977,4465.977,4465.977,0.000,0.00
7,15-DEC-22,17:58:44,15-DEC-22,20:23:11,JIONET,3190.977,3190.977,3190.977,0.000,0.00
8,15-DEC-22,17:04:50,15-DEC-22,17:58:35,JIONET,42.764,42.764,42.764,0.000,0.00
9,15-DEC-22,11:34:49,15-DEC-22,17:04:50,JIONET,4292.256,4292.256,4292.256,0.000,0.00
10,15-DEC-22,05:34:50,15-DEC-22,11:34:49,JIONET,2168.301,2168.301,2168.301,0.000,0.00
11,15-DEC-22,00:04:50,15-DEC-22,05:34:50,JIONET,12.354,12.354,12.354,0.000,0.00
12,14-DEC-22,18:34:49,15-DEC-22,00:04:50,JIONET,7407.764,7407.764,7407.764,0.000,0.00
13,14-DEC-22,13:04:50,14-DEC-22,18:34:49,JIONET,3429.190,3429.190,3429.190,0.000,0.00
14,14-DEC-22,07:34:48,14-DEC-22,13:04:50,JIONET,2609.180,2609.180,2609.180,0.000,0.00
15,14-DEC-22,05:02:02,14-DEC-22,07:34:40,JIONET,114.483,114.483,114.483,0.000,0.00
16,13-DEC-22,23:32:02,14-DEC-22,05:02:02,JIONET,767.276,767.276,767.276,0.000,0.00
17,13-DEC-22,23:27:42,13-DEC-22,23:32:00,JIONET,0.189,0.189,0.189,0.000,0.00
18,13-DEC-22,23:27:37,13-DEC-22,23:27:39,JIONET,0.036,0.036,0.036,0.000,0.00
19,13-DEC-22,20:27:37,13-DEC-22,23:27:37,JIONET,1737.579,1737.579,1737.579,0.000,0.00
20,13-DEC-22,14:57:36,13-DEC-22,20:27:37,JIONET,4893.008,4893.008,4893.008,0.000,0.00
21,13-DEC-22,09:27:36,13-DEC-22,14:57:36,JIONET,3852.364,3852.364,3852.364,0.000,0.00
22,13-DEC-22,03:27:36,13-DEC-22,09:27:36,JIONET,2447.901,2447.901,2447.901,0.000,0.00
23,12-DEC-22,21:57:36,13-DEC-22,03:27:36,JIONET,1546.758,1546.758,1546.758,0.000,0.00
24,12-DEC-22,16:27:37,12-DEC-22,21:57:36,JIONET,6064.180,6064.180,6064.180,0.000,0.00
25,12-DEC-22,10:57:37,12-DEC-22,16:27:37,JIONET,988.653,988.653,988.653,0.000,0.00
26,12-DEC-22,05:27:36,12-DEC-22,10:57:37,JIONET,153.536,153.536,153.536,0.000,0.00
27,11-DEC-22,23:57:36,12-DEC-22,05:27:36,JIONET,754.561,754.561,754.561,0.000,0.00
28,11-DEC-22,17:57:37,11-DEC-22,23:57:36,JIONET,4630.274,4630.274,4630.274,0.000,0.00
29,11-DEC-22,12:27:37,11-DEC-22,17:57:37,JIONET,0.743,0.743,0.743,0.000,0.00
30,11-DEC-22,06:57:36,11-DEC-22,12:27:37,JIONET,921.612,921.612,921.612,0.000,0.00
31,11-DEC-22,00:57:37,11-DEC-22,06:57:36,JIONET,10.909,10.909,10.909,0.000,0.00
32,10-DEC-22,19:27:37,11-DEC-22,00:57:37,JIONET,7712.178,7712.178,7712.178,0.000,0.00
33,10-DEC-22,13:57:36,10-DEC-22,19:27:37,JIONET,9892.090,9892.090,9892.090,0.000,0.00
34,09-DEC-22,19:18:48,09-DEC-22,21:48:49,JIONET,3320.459,3320.459,3320.459,0.000,0.00
35,09-DEC-22,13:36:49,09-DEC-22,19:18:30,JIONET,7395.313,7395.313,7395.313,0.000,0.00
36,09-DEC-22,08:06:50,09-DEC-22,13:36:49,JIONET,9192.852,9192.852,9192.852,0.000,0.00
37,09-DEC-22,02:36:49,09-DEC-22,08:06:50,JIONET,116.045,116.045,116.045,0.000,0.00
38,08-DEC-22,20:36:51,09-DEC-22,02:36:49,JIONET,9772.315,9772.315,9772.315,0.000,0.00
39,08-DEC-22,15:06:49,08-DEC-22,20:36:51,JIONET,2105.713,2105.713,2105.713,0.000,0.00
40,08-DEC-22,09:06:50,08-DEC-22,15:06:49,JIONET,4149.483,4149.483,4149.483,0.000,0.00
41,08-DEC-22,03:36:50,08-DEC-22,09:06:50,JIONET,276.993,276.993,276.993,0.000,0.00
42,07-DEC-22,22:06:49,08-DEC-22,03:36:50,JIONET,5310.655,5310.655,5310.655,0.000,0.00
43,07-DEC-22,16:36:49,07-DEC-22,22:06:49,JIONET,2665.723,2665.723,2665.723,0.000,0.00
44,07-DEC-22,11:06:49,07-DEC-22,16:36:49,JIONET,998.682,998.682,998.682,0.000,0.00
